"DeMixT"	"CiberSortX"	"LinSeed"	"ESTIMATE"	"TUMERIC"	"genomic_avg"	"type"	"AbsCN.seq"	"ASCAT"	"PurBayes"	"CPE"
"TCGA-DU-6399-01"	0.68260510396672	NA	0.816473826765891	0.860719453561	0.398985954064	0.372830633333333	"LGG"	0.29	0.47	0.3584919	0.8401
"TCGA-DU-6400-01"	0.64566732484106	NA	0.553993753135757	0.963829629223	0.749421641667	0.728404333333333	"LGG"	0.78	0.89	0.515213	0.9792
"TCGA-DU-6401-01"	0.875218872548872	NA	0.663489074496828	0.882863132622	0.579636441667	0.6153615	"LGG"	0.61	0.4	0.8360845	0.8752
"TCGA-DU-6402-01"	0.858857412276132	NA	1.04899600499907	0.790121717139	0.47110509471	0.5160684	"LGG"	0.33	0.63	0.5882052	0.7531
"TCGA-DU-6403-01"	0.597869342103842	NA	1.02989068713905	0.870968947376	0.577081196891	0.587032933333333	"LGG"	0.44	0.68	0.6410988	0.7925
"TCGA-DU-6404-01"	0.847357759620187	NA	0.718058352721294	0.913742447588	0.648490105216	0.6441918	"LGG"	0.47	0.74	0.7225754	0.9041
"TCGA-DU-6405-01"	0.791493129054037	NA	0.893116653636843	0.90965917638	0.715434986758	0.7754822	"LGG"	0.83	0.67	0.8264466	0.9101
"TCGA-DU-6407-01"	0.676801839762664	NA	0.675944585611576	0.92589502834	0.713817750667	0.7310475	"LGG"	0.64	0.68	0.8731425	0.928
"TCGA-DU-6408-01"	0.748831105571939	NA	0.700616998855639	0.903865732127	0.6059232902	0.607313833333333	"LGG"	0.39	0.66	0.7719415	0.9051
"TCGA-DU-6410-01"	0.858605658275621	NA	0.590476599833168	0.991637723817	0.826754008333	0.868319633333333	"LGG"	0.86	0.87	0.8749589	1
"TCGA-DU-6542-01"	0.560220212821233	NA	0.888345039806549	0.857167132118	0.630189475	0.693130233333333	"LGG"	0.69	0.65	0.7393907	0.8303
"TCGA-DU-7006-01"	0.454552016967183	NA	1.13076687704438	0.777207209988	0.49781321746	0.537678166666667	"LGG"	0.43	0.64	0.5430345	0.7238
"TCGA-DU-7007-01"	0.748096395515503	NA	1.07663604806214	0.786466301604	0.617570492996	0.7046152	"LGG"	0.59	0.68	0.8438456	0.7466
"TCGA-DU-7008-01"	0.724965155304386	NA	0.621881575224888	0.967172602968	0.6849215087	0.657498833333333	"LGG"	0.57	0.61	0.7924965	0.982
"TCGA-DU-7009-01"	0.615706648035144	NA	0.530251507662522	0.980349999387	0.657531657603	0.668962466666667	"LGG"	0.51	0.73	0.7668874	0.9937
"TCGA-DU-7010-01"	0.759795849625811	NA	0.915631329970156	0.923089693398	0.744290866183	0.795268566666667	"LGG"	0.83	0.73	0.8258057	0.9274
"TCGA-DU-7011-01"	0.639526705649715	NA	0.750671849869204	0.771503397817	0.405561108248	0.447192066666667	"LGG"	0.36	0.42	0.5615762	0.7246
"TCGA-DU-7012-01"	0.669063150768245	NA	1.11457172902056	0.62715744614	0.53063310708	0.672718333333333	"LGG"	0.96	0.56	0.498155	0.6325
"TCGA-DU-7013-01"	0.785996312074045	NA	0.953410682119476	0.891552606271	0.751347650826	0.811244266666667	"LGG"	0.77	0.83	0.8337328	0.8787
"TCGA-DU-7014-01"	0.582869139894023	NA	0.69865088274034	0.904528716377	0.612846212113	0.6158143	"LGG"	0.39	0.6	0.8574429	0.9076
"TCGA-DU-7015-01"	0.678932174818838	NA	0.852495868027183	0.831441493019	0.633714441667	0.686009833333333	"LGG"	0.48	0.71	0.8680295	0.8031
"TCGA-DU-7018-01"	0.637504071987307	NA	0.577601092864326	0.977783351208	0.724865542033	0.669347733333333	"LGG"	0.57	0.62	0.8180432	0.9854
"TCGA-DU-7019-01"	0.726921181204507	NA	0.646033979494215	0.878948694922	0.57570732736	0.5729044	"LGG"	0.4	0.7	0.6187132	0.8734
"TCGA-DU-7290-01"	0.708969963178854	NA	1.36734644950436	0.746143547044	0.503039846016	0.574327933333333	"LGG"	0.47	0.65	0.6029838	0.697
