"DeMixT"	"CiberSortX"	"LinSeed"	"ESTIMATE"	"TUMERIC"	"genomic_avg"	"type"	"AbsCN.seq"	"ASCAT"	"PurBayes"	"CPE"
"TCGA-EB-A5UN-06"	NA	NA	0.849718464901292	0.865651643461	0.559299522797	0.513065	"SKCM"	0.27	0.42	0.849195	0.7466
"TCGA-EB-A5VV-06"	NA	NA	0.185920647375715	0.362291438863	0.494147860295	0.607668066666667	"SKCM"	0.72	0.38	0.7230042	0.1224
"TCGA-EB-A6L9-06"	NA	NA	0.258341872731152	0.566725240877	0.384570300142	0.593484566666667	"SKCM"	0.61	1	0.1704537	0.4387
"TCGA-EE-A17X-06"	NA	NA	0.581119145379316	0.897851704691	0.818688283333	0.8269291	"SKCM"	0.76	0.84	0.8807873	0.836
"TCGA-EE-A17Y-06"	NA	NA	0.921904015500072	0.899484752966	0.615368310455	0.674535833333333	"SKCM"	0.58	0.46	0.9836075	0.836
"TCGA-EE-A17Z-06"	NA	NA	0.793783249496853	0.95239332051	0.883185641667	0.8862505	"SKCM"	0.91	0.85	0.8987515	0.9253
"TCGA-EE-A180-06"	NA	NA	0.861461542690836	0.885908953017	0.843054695928	0.9064008	"SKCM"	0.86	0.86	0.9992024	0.8806
"TCGA-EE-A181-06"	NA	NA	0.94232480708522	0.726159155712	0.507688847221	0.4953829	"SKCM"	0.53	0.48	0.4761487	0.6788
"TCGA-EE-A182-06"	NA	NA	0.384326658774727	0.734888591156	0.615416328349	0.651525133333333	"SKCM"	0.77	0.61	0.5745754	0.6689
"TCGA-EE-A183-06"	NA	NA	0.400921110578105	0.663761524705	0.347077051583	0.318483833333333	"SKCM"	0.24	0.38	0.3354515	0.5834
"TCGA-EE-A184-06"	NA	NA	0.610211473607583	0.824652620866	0.693305983085	0.708544833333333	"SKCM"	0.79	0.61	0.7256345	0.8125
"TCGA-EE-A185-06"	NA	NA	0.597222957710093	0.972966395919	0.870959189041	0.855101733333333	"SKCM"	0.81	0.85	0.9053052	0.9253
"TCGA-EE-A20B-06"	NA	NA	0.749349455437357	0.713466070262	0.551599633445	0.568746766666667	"SKCM"	0.56	0.53	0.6162403	0.691
